UK weekly numbers of livestock slaughtered Average per week,5 week months also occuring in a 53 week year,Prime Cattle Calves Thousand head,Prime Cattle Steers Thousand head,Prime Cattle Heifers Thousand head ,Prime Cattle Young Bulls Thousand head,Prime Cattle Total Thousand head,Adult Cows Thousand head,Adult Bulls Thousand head,Total Thousand head,Sheep & Lambs Thousand head,Ewes & Rams Thousand head,Clean Pigs Thousand head,Sows & Boars Thousand head
Sep-07,,1.7,21.4,14.3,6.3,42,7.1,0.2,7.3,287.1,46.7,182.5,3.3
Oct-07,*,2.1,22.8,15.4,5.7,43.9,7.9,0.2,8.1,286.3,44.2,192,2.5
Nov-07,,1.6,22.5,16.9,6,45.4,10.6,0.3,11,322.8,44.9,199.4,7.7
Dec-07,,0.9,18.6,15,5.5,39.2,9.6,0.3,9.8,322.3,51,179.5,5.4
Jan-08,*,0.6,18.1,15.3,5,38.3,10.8,0.3,11.1,288.3,44,175.6,5.7
Feb-08,,0.6,20.3,16.6,4.9,41.8,10.5,0.3,10.8,266.9,46.2,183.4,5.8
Mar-08,,0.6,19.9,15.4,4.5,39.8,8.5,0.3,8.8,256.3,41.5,174.8,5.2
Apr-08,*,0.6,19.9,15.4,5.1,40.4,9.1,0.3,9.4,220.7,40.9,178.3,5
May-08,,0.5,19.1,14.4,5.8,39.3,8.1,0.4,8.5,201.1,38.1,168.2,4.2
Jun-08,,0.4,18.1,13.5,6.4,38.1,9.1,0.4,9.4,227.7,39.5,172.1,4.3
Jul-08,*,0.8,17.5,12.2,6.1,35.9,9.5,0.3,9.8,265.1,43,175,3.8
Aug-08,,1.3,16.8,12.4,5.2,34.3,10.1,0.4,10.4,303.4,49.7,173.7,4
Sep-08,,1.4,21.7,14.9,5.4,42.1,11.5,0.4,11.9,323.2,51.3,181.1,4.5
Oct-08,*,1.3,21.3,15,4.7,41,12.4,0.4,12.8,316.8,47.8,180.8,4.3
Nov-08,,1.3,19.7,15.4,4.8,39.9,14.1,0.4,14.6,322.4,47.7,184.2,4
Dec-08,,1,17.9,14.9,4.4,37.2,11.2,0.3,11.5,323.5,52.6,173.4,3.4
Jan-09,*,0.7,17.2,16,4.3,37.4,9.7,0.3,10,251.8,41.4,163.2,3.8
Feb-09,,0.7,18.6,17,4.1,39.8,9.4,0.3,9.7,227,42.6,168.5,4
Mar-09,,0.9,18.6,16.1,4.2,38.9,8.6,0.3,8.9,222.9,43.1,162.9,3.9
Apr-09,*,0.6,18.9,15.5,4.5,39,7.7,0.3,8,212.5,40.3,159.2,3.8
May-09,,0.5,18.8,14.8,5.4,38.9,8.1,0.4,8.4,192.9,37.8,156.1,3.6
Jun-09,,0.6,17.8,13.9,6.1,37.8,8.3,0.4,8.6,214.9,39.4,166.8,3.6
Jul-09,*,0.8,15.9,12.8,6,34.7,8.1,0.4,8.4,256.2,41,168.9,4
Aug-09,,0.9,15.6,12.1,5.3,33,8,0.3,8.3,306.2,46.6,172.2,4.1
Sep-09,,1.1,19.1,13.5,5.3,37.9,9.5,0.4,9.9,309.2,44.2,173.1,4.2
Oct-09,*,1.1,20.1,14.8,5.4,40.3,10.4,0.5,10.9,312.9,43.6,181.7,4.4
Nov-09,,1,20.3,15.5,5.8,41.6,11.2,0.6,11.8,311.7,48.3,185,4.3
Dec-09,,0.8,17.7,15,5.5,38.1,9.4,0.5,9.8,275.4,38.2,180.3,3.8
Jan-10,*,0.6,17,14.2,5.1,36.3,8.9,0.3,9.2,191.8,30,168.9,4
Feb-10,,0.9,19.5,15.8,5.3,40.6,10.6,0.5,11.1,189.1,34.7,175.6,4.4
Mar-10,,1.1,19.9,15.6,5.7,41.1,9.4,0.4,9.8,204.7,33,176.8,4.5
Apr-10,*,0.8,19.7,14.8,5.9,40.4,8.4,0.5,8.9,185.6,32.7,171.7,4.2
May-10,,0.7,19.5,14.4,6.8,40.7,8.6,0.6,9.3,175.2,33.2,173.5,4.1
Jun-10,,0.8,18.2,13.9,8.3,40.4,8.5,0.6,9.1,190.9,34.5,171.2,3.8
Jul-10,*,1,17.6,13.1,8.4,39.1,9.4,0.5,10,244.6,37.9,171.4,Data are confidential
Aug-10,,1.4,17.5,12.9,7.9,38.3,9.2,0.6,9.8,286.4,43,179.8,Data are confidential
Sep-10,,1.8,20.8,14.3,6.7,41.7,10.7,0.6,11.3,282.8,41.2,182.4,Data are confidential
Oct-10,*,1.9,21.8,15.3,6.4,43.4,12.4,0.6,13,283.5,40.9,188.3,Data are confidential
Nov-10,,1.8,21.3,16.6,6.3,44.2,15.2,0.6,15.8,305.5,47.4,195.8,Data are confidential
Dec-10,**,1.3,17.9,14.5,5.4,37.7,10.4,0.4,10.8,250.4,39.1,177.8,Data are confidential
Jan-11,*,1.3,19.7,16.6,5.6,41.9,13,0.6,13.6,204.5,39.2,179.8,Data are confidential
Feb-11,,1.9,20,16.9,5.5,42.4,11.8,0.5,12.3,206.8,40,190.8,Data are confidential
Mar-11,,2,20.9,16.2,5.8,42.8,10.6,0.5,11.1,201.5,35.2,189.5,Data are confidential
Apr-11,*,1.5,19.9,15.1,5.7,40.7,9.2,0.4,9.6,192,34.4,177.2,Data are confidential
May-11,,1.4,19.8,15.3,7.3,42.4,11,0.5,11.5,180.2,34.3,177.9,Data are confidential
Jun-11,,1.3,18.4,14.4,7.9,40.7,11.7,0.5,12.2,210.7,35.2,184.9,Data are confidential
Jul-11,*,1.3,17.1,13.3,7.1,37.5,10.8,0.5,11.3,259.7,39.1,186.9,Data are confidential
Aug-11,,1.3,19.1,13.6,6.3,39,11.2,0.4,11.6,278.7,40,189.6,Data are confidential
Sep-11,,1.9,21.5,14.9,5.8,42.2,13,0.5,13.5,291.5,40.1,199.2,Data are confidential
Oct-11,*,1.8,20.7,15.3,5.1,41.1,14.2,0.5,14.7,312,44.8,198.9,Data are confidential
Nov-11,,1.7,20.2,16.4,5.3,41.9,15.2,0.5,15.7,284,42.8,207.1,Data are confidential
Dec-11,,1.3,17.3,14.2,4.3,35.8,11.1,0.3,11.5,251.8,39.5,185.7,Data are confidential
Jan-12,*,1.2,17.8,15.1,4.4,37.3,11.8,0.3,12.1,195.4,34.1,188,5.1
Feb-12,,1.6,19.4,15.6,4.6,39.5,11,0.3,11.3,196.4,34.8,192.2,4.8
Mar-12,,1.8,19.5,15,4.7,39.2,9.7,0.3,10.1,204.4,33.5,192.8,5.2
Apr-12,*,1.1,19.5,14.1,5,38.6,9.7,0.3,10.1,188.9,30.9,186.8,4.9
May-12,,0.9,19.4,13.7,6.1,39.2,10.5,0.4,10.9,191,30.6,188.6,4.7
Jun-12,,0.8,17.1,12.2,6.5,35.8,10.3,0.4,10.8,195.7,30.8,184.8,4.7
Jul-12,*,0.9,16.8,12,6.9,35.7,11.9,0.4,12.3,229.8,35.2,191.6,5.2
Aug-12,,1.4,17.2,12,6.2,35.4,11.4,0.3,11.8,262.1,37.5,195.2,5.3
Sep-12,,2,19.3,12.7,5.7,37.8,13.6,0.4,14,260.2,37.2,196.5,5.9
Oct-12,*,1.9,20.1,14.2,5.4,39.8,15.5,0.5,15.9,293,43.7,201,5.5
Nov-12,,2,19.5,15.2,5.4,40.1,16.2,0.5,16.7,267.8,38.2,207.9,5.3
Dec-12,,1.5,17,13.6,4.4,34.9,11.7,0.4,12.1,263.3,39.2,191.6,4.3
Jan-13,*,1.5,17.4,14.4,4.4,36.2,12.6,0.3,12.9,220.4,37.8,189.3,5.1
Feb-13,,2.2,19,15.2,4.7,38.9,11.8,0.4,12.1,224.1,39.8,196.5,5.1
Mar-13,,2.4,18,14.1,4.8,36.9,10.1,0.3,10.5,223.9,37.4,191.8,5.1
Apr-13,*,1.6,18.8,14.2,5.4,38.3,10.7,0.4,11.1,196,35.3,189,4.9
May-13,,1.3,18.1,13.7,6,37.8,10,0.4,10.4,182.4,35.9,183.2,4.8
Jun-13,,1.1,17.3,13.4,7.1,37.8,9.9,0.4,10.3,209.1,36.9,186.1,5
Jul-13,*,1.3,15.7,12.3,7,35,10.4,0.4,10.8,239,39.1,193,4.7
Aug-13,,1.7,14.5,12,6.4,33,10.1,0.4,10.6,264.6,42.6,192.5,4.7
Sep-13,,2.2,18,13.6,6,37.6,12.1,0.5,12.6,276.9,41.5,198.3,5
Oct-13,*,2.2,19.3,14.8,5.4,39.5,13.1,0.5,13.6,301.3,47.3,202.4,4.8
Nov-13,,1.9,18.5,15.4,5.6,39.5,14,0.5,14.5,268.1,41,207.1,4.9
Dec-13,,1.5,15.9,13.3,4.8,34,10,0.4,10.4,266.9,42.6,189.8,4
Jan-14,*,1.5,17.1,14.6,4.5,36.2,11.7,0.3,12.1,210.7,36.4,188.1,4.9
Feb-14,,2.2,18.8,15.5,4.6,38.9,11.7,0.4,12.1,200.3,36.3,195.8,4.9
Mar-14,,2.8,18.8,15.1,4.7,38.7,10.6,0.5,11.1,206.6,33.3,194.5,4.9
Apr-14,*,2.1,18.8,14.3,4.5,37.7,9,0.4,9.4,220.7,31.8,187.5,4.8
May-14,,1.7,19.2,14.2,5.6,39,9.5,0.5,10,201.1,30.1,188,4.9
Jun-14,,1.7,18.5,13.2,6.3,37.9,9.8,0.5,10.3,231.7,32.9,193.3,4.7
Jul-14,*,2,17.1,11.9,6.3,35.3,9.4,0.4,9.9,254.6,34.3,193.9,4.5
Aug-14,,2.3,17.6,12.4,5.2,35.3,10.8,0.5,11.2,269.6,38.6,193.7,4.3
Sep-14,,2.8,19.8,13.4,4.5,37.8,11.6,0.5,12.2,283.6,38.4,205.4,4.7
Oct-14,*,2.8,21.9,14.3,4.1,40.3,13.1,0.5,13.6,311,40,206,4.7
Nov-14,,2.2,21.6,15.4,3.6,40.7,14,0.5,14.5,287.3,32.5,217.1,4.7
Dec-14,,1.7,17.9,13.7,3.1,34.7,11.5,0.3,11.8,277.2,31.2,199.5,3.9
Jan-15,*,1.6,18.5,14.8,3.1,36.4,12.2,0.3,12.6,225.7,27.5,191.1,4.4
Feb-15,,2.3,20.1,15.7,3.1,39,12.2,0.3,12.6,219.3,29.3,204.3,4.8
Mar-15,,2.8,20.4,14.8,3.2,38.4,10.6,0.3,10.9,234.4,27.3,203,4.9
Apr-15,*,1.9,19.4,13.6,3.4,36.5,9.3,0.3,9.6,217.4,28.2,194.3,4.5
May-15,,1.3,18.5,13.2,4.1,35.8,9.1,0.3,9.4,208.2,26,196.9,4.5
Jun-15,,1.2,17.9,12.4,5.1,35.4,9.6,0.4,10,244.6,30.1,203.4,5
Jul-15,*,1.4,18.4,12.4,5.5,36.3,10.7,0.4,11.1,259.7,30.3,200.5,4.6
Aug-15,,1.7,17.5,12.1,5.3,34.9,11.3,0.4,11.7,284,33.9,205,4.6
####* Denotes a 5 week month####,,,,,,,,,,,,,
####** Denotes a 5 week month in a 53 week statistical year####,,,,,,,,,,,,,
"####The definition of Calves from May 2014 is “Bovines less than 1 year old”. Pre May 2014, the definition was “Bovines weighing less than 165kg”####",,,,,,,,,,,,,
