food/slgter_supplies_26jun15.csv,by quarter,UK Production Total meat,Total Imported,Total Exported Carcase meat,Total Exported live,Total New Supply,Total UK production as % of supply,Uk Beef and veal UK Production,Beef and veal Imported Fresh and chilled,Beef and veal Imported Frozen,Beef and veal Exported carcase meat,Beef and veal Exported Live,Beef and veal Totsl New supply,Beef and veal,Mutton and lamb UK Production,Mutton and lamb Imported,Mutton and lamb Exported carcase weight,Mutton and lamb Exported live,Mutton and lamb Total new supply,Mutton and lamb UK production as % of supply,pigmeat UK Production,pigmeat Imported,pigmeat Exported carcase weight,pigmeat Exported live,pigmeat Total new supply,pigmeat UK production as % of supply,Poultry Uk Production,Poultry Imported ,Poultry Exported ,Poultry Total New Supply,UK production as a % Poultry
2013,Q2(p),869.4,416,183.5,1.8,1100.1,67.6,211.4,53.6,23.1,29.7,,258.3,73.4,62.6,40,24.8,1.4,76.4,61,188.3,174.2,48.2,0.5,313.8,52,407.1,125.2,80.7,451.5,76.5
2013,Q3(p),887.4,398.4,188.4,3,1094.3,69,197.6,56.1,23,27.4,,249.1,71.4,79.3,22.4,28.9,2.6,70.2,78,196.2,181.5,53.3,0.5,324,51.9,414.3,115.5,78.8,451,78.2
2013,Q4(p),938.7,438.2,203,3.9,1169.9,68.2,217,64.6,23.2,33.8,,271.1,71.2,87.1,21.3,29.8,3.5,75.1,80.4,205.8,199.8,55.3,0.5,349.9,50.7,428.8,129.3,84.2,473.9,76.8
2014,Q1(p),902.9,400.1,177.5,3.1,1122.3,69.3,220.5,52.7,20.1,32.2,,261,75.2,68.1,32.6,24.7,2.7,73.4,67.6,201,177.7,54.4,0.5,323.8,53.1,413.4,117,66.3,464.1,77.9
2014,Q2(p),884,421.8,215.4,1.8,1088.6,67.7,217.9,54.6,21.5,32.9,,261.1,74.1,68.8,38.1,26.3,1.3,79.3,64.4,196.4,181.9,53.1,0.5,324.7,51.9,400.9,125.7,103,423.6,76.1
2014,Q3(p),901.9,412.9,200.7,2.7,1111.4,68.6,207,59.1,21.7,33.6,,254.2,71.9,81.6,22,26.7,2.2,74.6,78.8,203.8,183,55.3,0.5,331.1,52.7,409.6,127,85.1,451.5,76.3
2014,Q4(p),951.9,446.6,201.1,4,1193.4,68.1,226.3,71.8,22.8,36.4,,284.5,70.5,88.6,19.4,29.6,3.5,75,82.1,218.3,193.6,53.9,0.5,357.6,53,418.6,139.1,81.2,476.4,75.1
2015,Q1(p),917,418.7,176.5,2.8,1156.4,68.7,221.3,61.4,19.6,28.6,,273.6,73.2,71,35.8,19.9,2.3,84.6,66.5,211.7,178.5,52.3,0.5,337.3,54.3,413.2,123.4,75.7,460.9,77
2015,Q2(p),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Q3(p),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Q4(p),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###p    Data are provisional####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Imported and Export columns  Boneless meat has been converted to bone in weights####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Imported and Exported Supply for poultry All trade figures include an estimate for unrecorded trade####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Live cattle export ban lifted May 2006####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####From May 2006 includes exported live cattle#####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####1997 Quarter 2 supplies excludes 7.9 ThT of destroyed intervention beef####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####These home fed production figures were collected on a 53 week (14 week 4th Quarter) basis but have been adjusted to a 52 week year (13 week 4th quarter) for comparability####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"####Total meat = Beef and veal, mutton and lamb, pigmeat and poultrymeat Figures have been rounded individually and totals will not necessarily agree with the addition of separate figures####",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####lamb and mutton home fed production figures were collected on a 53 week (14 week 4th Quarter) basis but have been adjusted to a 52 week year (13 week 4th quarter) for comparability####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Excludes imported carcase meat for home curing into bacon####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
