Updated on:,,17-Sep-15,,,,,Contact:,"Leigh Riley, Room 201, 2nd Floor, YKF,  GTN: 5137 5095",,,,,
Next update:,,15-Oct-15,,,,,Source:,"Slaughterhouse surveys, Defra, The Scottish Government, DARD (NI)",,,,,
,,,,,,,,,,,,,
,,,,,,Classification:,Public Domain,,,Units:,,,
,,,,,,,,,,,,,
,,,,,,,Adult Cattle,,,,,,
"UK monthly numbers of livestock slaughtered (based on statistical months, not calendar months)",5 week months and 5 week months in 53 week year,Prime Cattle Calves Thousand head,Prime Cattle Steers Thousand head,Prime Cattle Heifers Thousand head,Prime Cattle Young Bulls Thousand head,Prime Cattle Total Thousand head,Adult Cows Thousand head,Adult Bulls Thousand head,Adult Total Thousand head,Sheep & Lambs Thousand head,Ewes & Rams Thousand head,Clean Pigs Thousand head,Sows & Boars Thousand head
Jan-00,*,9.9,90.2,104.1,23,217.3,0.1,0,0.1,1532,221.1,1325.2,42.6
Feb-00,,7.1,78.7,79.9,18.3,177,0.1,0,0.1,1078.4,164.4,1026.9,30.7
Mar-00,,10,86.2,67.8,19.9,173.9,0.1,0,0.1,962,157,995,28.2
Apr-00,*,11.1,102.4,80.4,28.3,211.1,0.1,0,0.1,1113.9,177.1,1151.2,29.2
May-00,,8,79.7,61.9,27.9,169.4,0.1,0,0.1,893.7,157.9,962,23.8
Jun-00,,11.2,72.5,61.2,34.1,167.9,0.1,0,0.1,1123.4,172.6,947.1,23.1
Jul-00,*,17.8,91.3,77.8,38.7,207.8,0.1,0,0.1,1608.9,234,1203,28.8
Aug-00,,14.1,79.6,62,26.2,167.8,0.1,0,0.1,1425.9,202.8,926.1,19.9
Sep-00,,15.7,91.6,67.9,26.6,186.1,0.1,0,0.1,1481.6,211.1,912.2,22.2
Oct-00,*,18.6,114,91.2,32.5,237.7,0.1,0,0.1,1833.7,289.7,1112.8,29.1
Nov-00,,15.8,87.2,82.8,28.3,198.3,0.1,0,0.1,1530.5,258.7,938.6,23.6
Dec-00,,12.8,63.9,71.8,24.4,160.1,0,0,0,1387.2,224.7,870.3,20.2
Jan-01,*,15,86.1,103,35.3,224.5,0.1,0,0.1,1476.2,217.1,1065,25.8
Feb-01,,10,66.6,67.9,22,156.5,0.1,0,0.1,846.1,137.8,702.3,16.7
Mar-01,,1,71.8,56.1,22.2,150,0,0,0,518.7,57.6,781.8,3.4
Apr-01,*,2,83,65.1,29.9,178,0.1,0,0.1,654.6,84.4,958.5,9.2
May-01,,2.7,67.5,51.3,30.3,149,0.1,0,0.1,572.3,95,782.7,9.4
Jun-01,,4.3,64.4,48.9,39.3,152.6,0,0,0,772.7,110.4,781.5,10.9
Jul-01,*,8.7,83.5,59,42.9,185.4,0,0,0,1118.2,170.2,984.9,18.8
Aug-01,,8.8,72.6,48.7,28.6,149.8,0,0,0,982.4,160.7,794.1,14.7
Sep-01,,11,88.5,57.5,26.9,172.9,0,0,0,1064.1,179,856.6,13.7
Oct-01,*,12.6,105.9,75.7,32.6,214.2,0,0,0,1274.9,208.1,1074,15.4
Nov-01,,9.3,81.1,71,30.2,182.3,0,0,0.1,1001.9,167.9,866.2,24.9
Dec-01,,6.4,65.8,64.2,26.5,156.5,0,0,0,951.2,142.6,798.7,16.6
Jan-02,*,6.1,89.1,86.7,30.3,206.1,0,0,0.1,1167.9,149.3,982.3,31.6
Feb-02,,5.1,85,67,25,177,0.1,0,0.1,979.2,136.8,817.7,28.9
Mar-02,,6.9,85.2,58.9,25.7,169.8,0.1,0,0.1,933.6,117.6,775,28.3
Apr-02,*,8.4,103.4,72.1,35.6,211.2,0.1,0,0.1,1020,137,953.9,33.1
May-02,,5.7,74,55.4,33.4,162.8,0.1,0,0.1,773.2,134.2,751.6,24.7
Jun-02,,6,67.7,51.6,35.6,155,0.1,0,0.1,836.5,130.9,729.1,24.3
Jul-02,*,11.3,91.4,68.5,44.4,204.3,0.1,0,0.1,1267.9,188,981.5,29
Aug-02,,9.3,75.6,53.9,28.1,157.6,0.1,0,0.1,1096.2,166.3,781.3,22.3
Sep-02,,11.2,84.4,59,26.8,170.2,0,0,0,1194.2,171.4,819,22.6
Oct-02,*,12.5,107.4,82.6,33,223,0.1,0,0.1,1485.8,217.2,1028.4,27.7
Nov-02,,8.8,82.6,74.7,28.4,185.8,0.1,0,0.1,1236.2,184.2,849.6,23.9
Dec-02,,6.8,66.5,69.6,24.3,160.5,0.1,0,0.1,1102.8,166.9,791.1,17.9
Jan-03,*,7.5,85.1,87.6,30.1,202.9,0.1,0,0.1,1267.4,186.5,917.2,28.9
Feb-03,,5.9,80.9,67.7,23.7,172.3,0.1,0,0.1,998.6,151,719.9,21.7
Mar-03,,6.4,83.5,59.9,25.8,169.3,0.2,0,0.2,898.1,122.5,713,20.4
Apr-03,*,6.1,99.6,72.1,33.7,205.4,0.2,0,0.2,950.2,154.2,839.6,22
May-03,,3.2,74.9,54.3,35.6,164.7,0.1,0,0.1,732.2,127.5,668.6,16.8
Jun-03,,4.1,71.2,54.4,38.2,163.8,0.1,0,0.1,894.7,141.2,695.6,17.6
Jul-03,*,6.8,88.2,67.2,46.2,201.6,0.1,0,0.1,1220.3,183.2,841.9,20.4
Aug-03,,6.8,73.7,51.1,30.1,154.9,0.1,0,0.1,1068.3,153.4,679.4,16.8
Sep-03,,9.2,87.3,57.5,30.1,174.9,0.1,0,0.1,1211,156.5,728,18.4
Oct-03,*,12.5,108.6,76.9,36.9,222.3,0.1,0,0.1,1568.4,219,901.8,22.2
Nov-03,,10.3,86.3,69.6,32.5,188.4,0.1,0,0.1,1223.8,168.1,737.3,17.9
Dec-03,,8.3,70,66.9,29.1,166.1,0.1,0,0.1,1145.5,153.1,691,17.7
Jan-04,*,7.7,82.5,81,34.4,198,0.1,0,0.1,1206.3,182.2,848,23.6
Feb-04,,6.7,82.5,66.2,27.6,176.3,0.1,0,0.1,904.4,141.9,701.2,19.8
Mar-04,,7.1,88.1,59.6,30.2,177.9,0.1,0,0.1,840.5,122.4,666.3,19
Apr-04,*,6.2,99.3,69,39.3,207.5,0.1,0,0.1,1010.3,148,804.9,21.2
May-04,,3,80.1,55.3,38.3,173.7,0.1,0,0.1,797.1,123.7,658.8,16.5
Jun-04,,3.3,66.6,52.1,39.8,158.5,0.1,0,0.1,864.2,137,668.1,18
Jul-04,*,6.2,84.4,64.7,48.3,197.4,0.1,0,0.1,1277.1,182.8,843.1,22.2
Aug-04,,8.7,80.1,56,34.9,171,0.1,0,0.1,1138.9,162.6,704.9,18.4
Sep-04,,13,88.5,57,29.6,175,0.1,0,0.1,1192.7,171,705,19.5
Oct-04,*,16.7,112.7,78,36.6,227.3,0.1,0,0.1,1552.9,224.1,896.6,21.9
Nov-04,,12.5,89.4,72.4,34.2,196,0.1,0,0.1,1279.8,177.4,764,17.4
Dec-04,**,11.8,96.5,94.6,39,230.1,0.1,0,0.1,1446,209,889.6,22.1
Jan-05,*,9.7,81.2,72.1,33.7,187,0.1,0,0.1,1246.7,211.8,867,20.8
Feb-05,,8.7,89.2,63.4,29.2,181.8,0.1,0,0.1,941.2,166.2,695.7,18.3
Mar-05,,7.6,85.4,57,28,170.4,0.1,0,0.1,977.3,162.6,648.2,17.7
Apr-05,*,6.3,109.8,71.4,40,221.3,0.1,0.1,0.2,1060.8,195.7,835.6,21.2
May-05,,4.9,84.9,55.2,37.7,177.8,0.1,0,0.1,796.2,156,666.6,16.1
Jun-05,,6.6,77.4,54,43,174.4,0.1,0,0.1,979.3,153.9,691.2,16.4
Jul-05,*,11.4,88.8,63.7,49.9,202.4,0.1,0,0.1,1324.5,196.2,836.7,19.5
Aug-05,,11.9,83.3,53.9,35.8,173,0.1,0,0.1,1216,174.7,686.2,16
Sep-05,,14.1,98.5,61.2,35.4,195.1,0.1,0,0.1,1302.5,190.1,706.5,14.3
Oct-05,*,13.9,112,76.4,39,227.3,0.1,0.1,0.2,1610.2,233.6,881.3,16
Nov-05,,8.7,92.3,73.5,32.3,198.1,8.5,0.2,8.7,1373.6,182,744.2,14.5
Dec-05,,7.1,78.1,69,26.7,173.7,9.5,0.2,9.7,1263.9,169.6,711.3,11.5
Jan-06,*,7,103,85.8,28.4,217.2,17.3,0.5,17.8,1341.4,221.3,818.3,17.1
Feb-06,,6,81.7,70.9,22.6,175.2,18.9,0.6,19.5,1052.5,172.7,684.6,14.3
Mar-06,,5.5,84,69.5,22.7,176.2,20,0.5,20.6,1038.9,171.9,681,15.3
Apr-06,*,3.4,96.8,76.8,28.2,201.8,23.4,0.7,24.1,1093.8,199.9,782.7,17.4
May-06,,2.5,85.3,64.6,28.9,178.7,24.1,0.9,25,825.1,157.3,665.1,14.2
Jun-06,,3.4,79.2,58.7,31.7,169.7,25.4,0.9,26.3,960.2,161.9,665.6,14.3
Jul-06,*,5.1,94.6,70.2,36.7,201.6,36.6,1,37.7,1306.6,211.7,832.4,19.7
Aug-06,,4,72.2,53.9,25.8,151.9,30.3,0.9,31.2,1223.9,185.6,686,15.2
Sep-06,,4,89.6,62.6,25.3,177.5,35.6,1.2,36.9,1310.6,195.5,725.6,17
Oct-06,*,4.4,113.2,80.4,27.1,220.7,52.1,1.5,53.6,1600.4,230.8,915.3,21.2
Nov-06,,3.2,93.2,70.9,22.6,186.7,46.8,1.2,48,1225.6,186.4,749.5,17.2
Dec-06,,2.7,78.8,63.8,18.3,160.9,33.8,0.9,34.7,1138.9,200.7,694,13.7
Jan-07,*,3,98.8,84.1,23.1,206,50.4,1.2,51.6,1145.9,206.8,830.7,19.5
Feb-07,,2.5,83.9,70.1,18.6,172.6,40.1,1.1,41.2,917.5,175.2,718.1,16.4
Mar-07,,2.8,85.9,67.6,20,173.4,33.6,0.9,34.5,984.5,168.5,715,17.8
Apr-07,*,1.9,103.1,76,26.2,205.4,36.1,1.1,37.2,1160.3,195.5,870.7,19.8
May-07,,1.4,81.1,60.1,25.9,167.1,28.3,1,29.2,919.6,154.7,683,14.9
Jun-07,,1.6,79.2,58.1,32.3,169.5,31.4,1.2,32.5,996,167.4,724.1,16
Jul-07,*,2.6,94.8,65,39.1,198.9,45.9,1.3,47.2,1385.6,211.1,882.1,21.9
Aug-07,,2.7,73.7,50.2,25.2,149.2,20.4,0.7,21.1,910.8,152.3,645,5.9
Sep-07,,6.7,85.7,57,25.2,167.9,28.4,0.7,29.1,1148.5,186.8,729.9,13.1
Oct-07,*,10.5,114,77.1,28.4,219.5,39.5,1.1,40.7,1431.4,221.2,959.9,12.5
Nov-07,,6.3,90,67.5,24.2,181.7,42.6,1.3,43.9,1291.4,179.6,797.6,30.7
Dec-07,,3.7,74.5,60.2,22,156.7,38.3,1,39.4,1289.2,204,717.8,21.4
Jan-08,*,3,90.5,76.3,24.9,191.7,53.9,1.4,55.4,1441.7,220.2,878.2,28.5
Feb-08,,2.2,81.1,66.2,19.7,167,41.8,1.3,43.1,1067.5,184.7,733.8,23.1
Mar-08,,2.3,79.7,61.5,18.1,159.3,34.2,1.2,35.4,1025.1,166.1,699,20.9
Apr-08,*,3.1,99.7,76.8,25.6,202.2,45.4,1.6,46.9,1103.7,204.3,891.6,24.8
May-08,,1.8,76.5,57.5,23.1,157.1,32.5,1.4,34,804.4,152.3,672.6,16.6
Jun-08,,1.8,72.6,54.2,25.7,152.5,36.3,1.4,37.7,910.9,157.9,688.2,17.2
Jul-08,*,3.9,87.7,61.2,30.5,179.4,47.6,1.7,49.2,1325.5,215.1,875,19
Aug-08,,5,67.1,49.7,20.6,137.4,40.2,1.4,41.7,1213.7,198.6,694.7,15.9
Sep-08,,5.5,86.9,59.8,21.6,168.4,46.1,1.6,47.7,1292.6,205.1,724.4,17.9
Oct-08,*,6.5,106.6,74.8,23.5,204.9,62.1,1.9,64,1583.8,239.2,903.9,21.5
Nov-08,,5.1,78.9,61.5,19.3,159.7,56.6,1.7,58.3,1289.5,190.6,736.8,16
Dec-08,,3.9,71.8,59.4,17.7,148.9,44.7,1.2,45.9,1294,210.3,693.4,13.6
Jan-09,*,3.4,85.9,79.8,21.3,187.1,48.6,1.4,50,1259.1,206.8,815.8,19
Feb-09,,3,74.5,68,16.5,159.1,37.5,1.2,38.6,907.8,170.3,674.1,16.1
Mar-09,,3.7,74.4,64.5,16.9,155.8,34.4,1.1,35.5,891.8,172.4,651.5,15.8
Apr-09,*,3.2,94.6,77.6,22.6,194.8,38.7,1.4,40.1,1062.6,201.6,795.9,19.2
May-09,,2.2,75.2,59,21.5,155.7,32.2,1.5,33.7,771.6,151.4,624.3,14.6
Jun-09,,2.6,71,55.5,24.5,151.1,33,1.5,34.5,859.8,157.4,667.3,14.3
Jul-09,*,3.9,79.7,64,29.8,173.5,40.4,1.8,42.2,1280.9,205.2,844.5,19.9
Aug-09,,3.6,62.4,48.4,21.3,132,32.1,1.3,33.4,1225,186.6,688.8,16.2
Sep-09,,4.3,76.5,53.9,21.3,151.7,38,1.5,39.5,1236.7,176.7,692.5,17
Oct-09,*,5.7,100.5,74.1,27.1,201.7,52,2.7,54.7,1564.5,218.1,908.7,22.2
Nov-09,,3.9,81.1,62.2,23.1,166.4,44.9,2.3,47.2,1246.7,193,739.8,17.3
Dec-09,,3.3,70.8,59.8,21.9,152.5,37.4,1.9,39.3,1101.7,152.6,721,15.2
Jan-10,*,2.9,85.2,71,25.4,181.6,44.6,1.6,46.2,959,150,844.3,20.1
Feb-10,,3.5,77.9,63.3,21.3,162.5,42.3,2.2,44.4,756.5,138.8,702.2,17.7
Mar-10,,4.3,79.6,62.2,22.7,164.6,37.7,1.6,39.3,818.6,132.1,707.3,18
Apr-10,*,4.2,98.6,74,29.6,202.2,41.8,2.5,44.3,927.9,163.4,858.3,21.1
May-10,,2.8,77.9,57.5,27.2,162.6,34.5,2.5,37,700.9,132.9,694.2,16.3
Jun-10,,3,72.6,55.8,33.1,161.5,33.9,2.5,36.4,763.8,138.2,684.9,15.2
Jul-10,*,5,88.2,65.3,42.2,195.7,47.1,2.7,49.9,1223,189.3,857, Data are confidential
Aug-10,,5.4,69.9,51.8,31.7,153.4,36.8,2.2,39,1145.7,172.1,719.1, Data are confidential
Sep-10,,7.3,83.2,57.2,26.6,167,42.7,2.4,45.1,1131.1,164.7,729.5, Data are confidential
Oct-10,*,9.7,108.8,76.3,32,217,62.2,3,65.2,1417.5,204.5,941.5, Data are confidential
Nov-10,,7.3,85,66.6,25.2,176.8,60.8,2.5,63.3,1221.9,189.4,783.4, Data are confidential
Dec-10,**,6.3,89.3,72.4,26.8,188.5,52,2.2,54.2,1251.9,195.5,889, Data are confidential
Jan-11,*,6.7,98.4,83,27.8,209.3,65.2,2.8,68,1022.6,196.2,898.9, Data are confidential
Feb-11,,7.5,80,67.4,22.1,169.5,47.2,1.9,49,827.1,160.1,763.2, Data are confidential
Mar-11,,8.1,83.4,64.7,23.2,171.3,42.4,1.8,44.2,805.8,140.9,757.9, Data are confidential
Apr-11,*,7.7,99.4,75.6,28.3,203.3,46.2,2,48.2,960.1,171.8,886.1, Data are confidential
May-11,,5.6,79.1,61.3,29.1,169.5,44,2.1,46.1,720.8,137.2,711.5, Data are confidential
Jun-11,,5.2,73.6,57.5,31.5,162.6,46.9,2.1,48.9,842.7,140.8,739.4, Data are confidential
Jul-11,*,6.5,85.7,66.5,35.3,187.5,54,2.3,56.3,1298.5,195.3,934.4, Data are confidential
Aug-11,,5.1,76.6,54.2,25.1,155.9,44.7,1.8,46.4,1114.7,159.9,758.4, Data are confidential
Sep-11,,7.5,86.2,59.5,23.1,168.8,52.1,1.8,54,1166,160.5,797, Data are confidential
Oct-11,*,8.8,103.7,76.3,25.5,205.5,71.1,2.4,73.5,1560,224.2,994.4, Data are confidential
Nov-11,,6.7,80.6,65.8,21.3,167.7,60.9,1.8,62.7,1136.2,171.1,828.5, Data are confidential
Dec-11,,5.1,69.4,56.8,17.1,143.3,44.6,1.3,45.9,1007.3,157.8,742.8, Data are confidential
Jan-12,*,5.8,89.2,75.3,21.9,186.5,58.8,1.6,60.3,977,170.3,939.9,25.6
Feb-12,,6.4,77.5,62.3,18.3,158.2,43.9,1.4,45.2,785.6,139.3,768.7,19.2
Mar-12,,7.2,78.1,60,18.9,156.9,38.9,1.3,40.2,817.7,133.8,771,20.8
Apr-12,*,5.7,97.5,70.4,24.9,192.8,48.5,1.7,50.3,944.3,154.7,933.8,24.5
May-12,,3.7,77.8,54.8,24.4,156.9,42,1.8,43.7,764.1,122.3,754.4,19
Jun-12,,3.3,68.4,48.7,26.2,143.2,41.4,1.7,43.1,782.6,123.3,739,18.9
Jul-12,*,4.5,84,60,34.6,178.7,59.5,2,61.4,1148.8,176,957.8,26.2
Aug-12,,5.5,68.9,47.9,24.9,141.6,45.7,1.4,47,1048.4,150.1,780.9,21.1
Sep-12,,8.2,77.3,51,22.8,151.1,54.2,1.7,55.9,1040.6,148.8,786.2,23.8
Oct-12,*,9.6,100.6,71.2,27.1,198.9,77.3,2.4,79.7,1465.2,218.6,1005.1,27.3
Nov-12,,7.9,78.1,60.6,21.7,160.5,64.6,2,66.7,1071.4,152.9,831.4,21.3
Dec-12,,6.2,67.8,54.3,17.7,139.8,46.9,1.4,48.3,1053.2,156.9,766.3,17.2
Jan-13,*,7.7,87.1,72,22,181.1,62.8,1.6,64.4,1101.9,188.9,946.4,25.4
Feb-13,,9,76.1,60.6,18.8,155.5,47.1,1.4,48.5,896.5,159.1,786.2,20.4
Mar-13,,9.8,72.2,56.4,19.3,147.8,40.5,1.3,41.9,895.7,149.8,767.2,20.5
Apr-13,*,8.2,93.8,71,27,191.7,53.5,1.8,55.3,980,176.7,945.2,24.7
May-13,,5.2,72.5,54.9,23.8,151.2,39.8,1.8,41.6,729.4,143.5,733,19
Jun-13,,4.4,69.1,53.7,28.3,151.1,39.7,1.6,41.3,836.6,147.5,744.3,20.2
Jul-13,*,6.7,78.4,61.6,35,174.9,51.8,2,53.8,1194.8,195.6,964.9,23.3
Aug-13,,6.8,58.2,48.1,25.6,131.8,40.6,1.7,42.3,1058.5,170.5,769.9,18.8
Sep-13,,8.9,72,54.4,23.9,150.4,48.5,1.9,50.4,1107.6,166.2,793,20
Oct-13,*,11.1,96.5,73.9,27.1,197.5,65.4,2.6,68,1506.4,236.5,1012,24.1
Nov-13,,7.5,73.9,61.6,22.4,157.9,56,2,58,1072.6,164.2,828.4,19.5
Dec-13,,5.9,63.4,53.1,19.4,135.9,39.9,1.6,41.5,1067.8,170.5,759.2,15.9
Jan-14,*,7.7,85.5,72.9,22.7,181.2,58.7,1.7,60.3,1053.7,182.2,940.7,24.6
Feb-14,,8.6,75.2,61.8,18.5,155.5,46.8,1.7,48.5,801.4,145.2,783,19.4
Mar-14,,11.4,75.3,60.5,18.9,154.7,42.5,2.1,44.6,826.3,133.4,778.2,19.8
Apr-14,*,10.6,94.2,71.6,22.7,188.5,44.8,2.1,46.9,1103.6,158.9,937.4,24.1
May-14,,6.8,76.9,56.7,22.4,155.9,38.1,1.8,39.9,804.4,120.2,751.9,19.4
Jun-14,,6.8,73.9,52.8,25,151.7,39.3,1.9,41.3,926.6,131.4,773.2,18.7
Jul-14,*,10.2,85.3,59.6,31.5,176.4,47.2,2.2,49.4,1272.9,171.5,969.6,22.6
Aug-14,,9,70.5,49.6,21,141.1,43,1.9,45,1078.4,154.2,775,17.3
Sep-14,,11.3,79.3,53.7,18.1,151.2,46.6,2.1,48.6,1134.4,153.7,821.8,18.8
Oct-14,*,13.9,109.4,71.4,20.7,201.5,65.5,2.4,67.8,1555,199.9,1030.2,23.7
Nov-14,,8.8,86.5,61.7,14.6,162.8,56,1.9,57.9,1149.3,130.1,868.3,18.7
Dec-14,,7,71.8,54.9,12.3,139,45.8,1.4,47.2,1108.7,124.7,797.9,15.5
Jan-15,*,7.9,92.6,73.8,15.7,182.1,61.2,1.5,62.8,1128.6,137.4,955.5,22.1
Feb-15,,9.1,80.5,62.7,12.5,155.8,48.8,1.4,50.2,877.4,117,817.4,19.1
Mar-15,,11.2,81.5,59.2,12.8,153.5,42.4,1.3,43.7,937.5,109.3,812,19.5
Apr-15,*,9.3,97.1,68.2,16.9,182.3,46.5,1.4,47.9,1087,141.2,971.3,22.7
May-15,,5.3,74.1,52.8,16.3,143.2,36.4,1.4,37.8,832.7,104,787.4,18
Jun-15,,4.8,71.5,49.6,20.4,141.5,38.4,1.5,39.9,978.4,120.3,813.4,20.1
Jul-15,*,7.1,92,62.2,27.3,181.4,53.7,1.9,55.5,1298.6,151.6,1002.4,23
Aug-15,,6.7,70,48.6,21,139.6,45.3,1.5,46.8,1136.1,135.4,819.9,18.3
####* Denotes a 5 week month####,,,,,,,,,,,,,
####** Denotes a 5 week month in a 53 week statistical year####,,,,,,,,,,,,,
"####The definition of Calves from May 2014 is “Bovines less than 1 year old”. Pre May 2014, the definition was “Bovines weighing less than 165kg""####",,,,,,,,,,,,,
